,Source,PX,PY,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14
238,Control_3_Bregma_-2.jpg,70,59,11.0,4.0,6.012346,4.200216999999999,11.0,-0.229817,-1.258493,15.0,4.0,6.148148,4.669605000000001,62.0,-1.017462,-4.842397
3494,20191128_191558_HDR_2.jpg,131,35,4.0,13.0,0.296296,4.445679,4.0,-0.132132,-0.7142270000000001,12.0,13.0,1.234568,5.468815,85.0,-1.177967,-5.587385
248,20191128_192452_HDR_2.jpg,152,47,4.0,6.0,1.098765,3.501692,4.0,-0.082775,-0.812218,10.0,6.0,2.222222,4.3033150000000004,73.0,-1.111043,-5.628731
4103,20191128_191420_HDR_2.jpg,33,85,27.0,23.0,16.481481,12.208185,27.0,-0.583549,-1.762952,39.0,23.0,17.395062,12.720819,72.0,-1.051799,-4.158313
5145,20191128_191028_HDR_2.jpg,60,38,5.0,3.0,1.345679,1.9823950000000001,5.0,0.029597000000000002,-1.727168,8.0,3.0,1.7777779999999999,2.69888,64.0,-1.046419,-6.044151
4518,Control_A_3-4.jpg,233,52,2.0,13.0,-1.197531,3.7856769999999997,2.0,0.08035700000000001,-0.297756,7.0,13.0,-0.666667,4.575836,50.0,-0.9534959999999999,-4.794701
2799,20191128_191647_HDR_2.jpg,172,43,10.0,6.0,7.135802,4.209786,10.0,-0.160367,-0.693369,18.0,6.0,8.790123,5.501327,96.0,-1.202867,-5.629688
1282,Control_3_Bregma_-2.jpg,154,42,9.0,10.0,2.617284,5.891127,9.0,-0.312813,-1.454793,12.0,9.0,3.3950620000000002,5.9621830000000005,66.0,-1.064668,-5.136212
903,20191128_191420_HDR_2.jpg,161,38,23.0,24.0,17.358025,10.424696,23.0,-0.45805100000000004,-1.093469,33.0,25.0,21.0,12.632508,103.0,-1.206888,-4.713163
5192,20191128_191349_HDR_2.jpg,74,58,27.0,23.0,16.567901000000003,12.033839,27.0,-0.593009,-1.868682,31.0,26.0,16.802469,12.78253,71.0,-1.050773,-4.214918
3248,20191128_192514_HDR_2.jpg,144,37,11.0,6.0,8.37037,4.590501000000001,11.0,-0.134319,-0.472866,19.0,6.0,10.407407000000001,5.956173000000001,70.0,-1.048437,-4.809004
2491,20191128_191134_HDR_2.jpg,90,29,8.0,4.0,5.0740739999999995,3.268925,8.0,-0.056366,-0.815933,13.0,5.0,5.098765,3.9771099999999997,81.0,-1.135864,-5.932632
5731,Control_3_Bregma_-2.jpg,113,37,14.0,1.0,9.234568,4.003923,14.0,-0.254656,-1.498745,19.0,1.0,9.45679,4.7740279999999995,70.0,-1.055275,-5.393509
6112,20191128_191420_HDR_2.jpg,115,34,43.0,12.0,38.012346,10.596405,43.0,-0.566924,-1.4041549999999998,56.0,11.0,41.604938,12.626329,110.0,-1.15575,-4.590171
4465,20191128_191420_HDR_2.jpg,176,44,40.0,6.0,33.62963,12.4934,40.0,-0.49163599999999996,-1.226065,49.0,7.0,35.938272,13.806731,124.0,-1.231719,-4.885465
479,20191128_191647_HDR_2.jpg,187,53,9.0,8.0,5.82716,4.328459,9.0,-0.106151,-0.581515,17.0,7.0,7.358025,5.620309,97.0,-1.21146,-5.655641999999999
1920,20191128_191320_HDR_2.jpg,174,60,9.0,7.0,5.197531,4.11987,9.0,-0.210655,-1.259244,14.0,7.0,5.283951,4.823386,111.0,-1.278926,-6.243926
734,20191128_191320_HDR_2.jpg,133,35,5.0,4.0,2.703704,2.781972,5.0,0.12900699999999998,-0.43493699999999996,9.0,4.0,2.851852,2.859298,101.0,-1.2341799999999998,-7.5622039999999995
3469,Control_A_-4.08.jpg,247,49,40.0,16.0,33.234567999999996,13.264891,40.0,-0.56395,-1.4303350000000001,65.0,17.0,40.049383,17.927082000000002,118.0,-1.19062,-4.864891
1219,20191128_191118_HDR_2.jpg,60,43,6.0,7.0,3.333333,3.21647,6.0,-0.002165,-0.550109,10.0,8.0,3.592593,3.968325,64.0,-1.037472,-5.350297
1616,Control_A_-4.08.jpg,122,45,23.0,70.0,13.45679,18.682566,23.0,-0.630451,-1.590574,56.0,71.0,20.765432,23.832891,77.0,-1.096311,-4.155641999999999
5655,20191128_190910_HDR_2.jpg,97,28,8.0,10.0,2.839506,4.59591,8.0,-0.29019,-1.526953,11.0,9.0,3.777778,4.835568,99.0,-1.241732,-6.029192
809,20191128_191500_HDR_2.jpg,72,55,11.0,2.0,6.864198,3.8801589999999995,11.0,-0.17019600000000001,-1.072337,15.0,3.0,7.012346000000001,4.229508,86.0,-1.155666,-5.616797
